bodymass,coxmasseter,coxplantaris,coxrecfem,coxpecmajor,coxintercostals,coxdiap,coxsemi,coxglutmax,coxlowertrap,coxsoleus,coxbicepsfemoris,coxvmed,coxbicepsbrachii,coxmedtrap,coxgastroc,coxerectorspinae,coxedl,coxvlat,coxta,coxtriceps,hoadmasseter,hoadplantaris,hoadrecfem,hoadpecmajor,hoadintercostals,hoaddiap,hoadsemi,hoadglutmax,hoadlowertrap,hoadsoleus,hoadbicepsfemoris,hoadvmed,hoadbicepsbrachii,hoadmedtrap,hoadgastroc,hoaderectorspinae,hoadedl,hoadvlat,hoadta,hoadtriceps,hkmasseter,hkplantaris,hkrecfem,hkpecmajor,hkintercostals,hkdiap,hksemi,hkglutmax,hklowertrap,hkbicepsfemoris,hkvmed,hkbicepsbrachii,hkmedtrap,hkgastroc,hkerectorspinae,hkedl,hkvlat,hkta,hktriceps,ldhmasseter,ldhplantaris,ldhrecfem,ldhpecmajor,ldhintercostals,ldhdiap,ldhsemi,ldhglutmax,ldhlowertrap,ldhsoleus,ldhbicepsfemoris,ldhvmed,ldhbicepsbrachii,ldhmedtrap,ldhgastroc,ldherectorspinae,ldhedl,ldhvlat,ldhta,ldhtriceps,csmasseter,csplantaris,csrecfem,cspecmajor,csintercostals,csdiap,cssemi,csglutmax,cslowertrap,cssoleus,csbicepsfemoris,csvmed,csbicepsbrachii,csmedtrap,csgastroc,cserectorspinae,csedl,csvlat,csta,cstriceps,pkmasseter,pkplantaris,pkrecfem,pkpecmajor,pkintercostals,pkdiap,pksemi,pkglutmax,pklowertrap,pksoleus,pkbicepsfemoris,pkvmed,pkbicepsbrachii,pkmedtrap,pkgastroc,pkerectorspinae,pkedl,pkvlat,pkta,pktriceps
23.46,47.446,54.518,35.399,37.009,37.464,80.869,31.813,50.839,24.107,36.243,34.013,34.464,27.67,29.42,75.679,36.90555475,35.251,22.264,90.82,43.204,48.343,57.866,53.064,68.061,76.728,157.305,34.671,72.868,44.645,50.526,60.938,59.449,47.28,101.68,53.401,50.227,27.621,5.47,38.283,28.483,7.204,8.161,5.311,6.425,9.429,13.523,4.639,5.64,5.818,5.469,4.568,5.332,7.377,6.726,32.51888437,6.561,5.331,6.561,13.267,388.855,509.286,690.585,705.007,692.855,417.199,720.389,648.344,414.609,217.486,589.646,260.507,273.473,489.253,570.305,120.36,170.905,362.524,206.939,150.889,49.039,74.9,44.168,8.315,24.657,38.697,10.547,61.135,33.168,38.661,62.229,67.038,56.559,76.581,56.915,8.891,25.733,8.019,42.292,19.445,78.454,139.402,115.293,123.619,153.474,83.781,153.288,134.939,107.158,86.462,138.891,77.097,94.155,127.415,164.758,89.277,78.645,118.656,160.858,94.616
21.19,50.797,60.839,40.414,40.206,30.079,66.07,45.041,44.802,32.321,38.088,27.748,46.818,34.327,28.172,53.491,47.091,40.229,16.727,38.048,40.699,51.229,53.266,47.728,76.294,56.301,117.837,52.955,66.231,64.112,32.344,58.463,75.32,36.577,64.958,41.26,19.202,8.878,11.067,18.639,15.389,7.437,8.787,5.208,7.795,8.329,13.821,5.331,6.143,6.731,8.212,10.014,5.723,7.078,5.965,3.601,35.693,5.688,35.693,8.581,365.586,576.386,758.3,588.234,711.589,447.211,699.515,763.574,493.809,168.142,623.408,503.016,287.149,393.121,600.074,123.253,61.42,371.701,176.498,49.603,37.667,61.938,38.298,6.75,22.673,35.085,14.355,60.264,29.882,23.452,55.822,59.733,50.084,39.051,32.506,6.25,2.08,8.956,15.756,6.653,112.344,132.04,116.692,106.928,130.258,72.584,215.104,173.439,94.567,81.362,175.111,126.629,88.828,133.629,158.065,105.391,50.08,111.658,86.73,45.857
24.55,39.889,40.185,22.669,34.58,36.837,63.36,21.269,37.867,19.726,41.743,21.695,36.241,16.446,41.82,40.594,16.03652502,32.899,21.008,63.543,46.388,47.557,57.781,80.56,85.703,83.113,179.086,35.797,63.124,43.185,46.641,49.624,50.025,12.143,155.163,45.009,53.224,12.55,14.568,21.177,15.014,7.754,7.06,4.973,6.818,8.246,13.988,3.95,5.308,5.059,7.611,6.069,2.111,8.87,6.601,7.791518717,20.358,9.778,20.358,9.67,330.655,513.123,417.598,586.251,545.43,392.514,643.935,754.411,202.242,351.312,682.911,337.801,118.184,340.858,351.546,313.96,192.039,409.517,241.387,169.147,38.728,49.897,31.657,7.291,20.407,31.008,11.861,51.364,25.478,37.939,51.762,71.215,44.48,59.92,25.819,20.625,13.934,8.446,43.745,18.041,77.868,138.389,101.769,130.147,121.742,96.303,136.256,151.298,54.133,107.814,165.527,87.434,28.535,107.303,189.8,121.389,74.444,88.337,146.416,84.331
23.62,42.637,51.178,42.353,30.026,35.56,71.727,36.041,14.981,15.502,35.08,28.847,49.231,26.017,33.943,35.225,48.107,19.773,17.41,97.821,47.801,46.326,60.784,51.08,77.439,77.22,137.852,38.283,48.945,45.599,37.107,60.82,63.395,43.638,82.963,40.492,31.597,6.366,7.548,39.357,15.59,8.432,7.201,7.113,6.866,11.112,13.914,4.981,4.824,5.921,6.087,6.075,8.007,8.411,7.133,16.242,15.599,5.009,15.599,24.763,257.922,478.937,590.79,465.858,520.607,331.972,458.418,451.247,257.501,289.202,474.814,388.426,359.376,257.935,440.472,281.688,65.973,409.157,111.367,104.01,45.08,76.057,48.975,8.026,24.648,35.674,18.408,37.325,17.462,35.012,35.962,66.885,50.364,65.21,39.942,16.601,10.125,5.457,12.444,12.102,72.718,118.66,93.367,116.125,129.701,52.968,162.205,124.264,115.053,87.038,105.586,100.647,102.015,75.548,111.255,103.594,93.776,61.61,49.292,118.232
26.99,40.973,29.081,28.619,23.566,33.351,46.576,37.301,20.611,30.965,27.46,15.789,28.572,27.494,28.445,51.384,18.434,29.823,29.608,68.45,50.352,52.587,18.603,48.345,46.89,59.651,123.985,34.238,60.228,64.876,52.88,44.014,57.965,42.081,50.669,36.551,24.282,30.124,9.772,28.777,6.658,6.29,4.392,3.89,3.549,8.955,8.985,3.013,5.095,5.838,3.71,6.533,5.562,5.08,5.21,17.134,7.899,5.444,33.563,5.998,328.983,427.238,729.31,741.289,669.72,341.967,605.938,718.12,757.018,130.076,732.567,395.745,362.97,582.986,588.91,158.208,20.592,513.613,73.054,130.845,48.361,26.269,40.138,5.593,21.841,25.854,13.065,46.567,48.211,36.604,51.11,51.656,45.58,45.672,26.032,11.13,1.765,5.623,10.002,6.83,80.033,114.111,100.809,136.191,170.366,61.288,177.954,127.945,137.187,68.76,124.268,129.823,105.523,147.195,134.394,94.227,83.772,149.36,59.755,104.638
18.8,44.796,28.278,33.606,34.055,33.376,86.853,28.114,36.638,36.378,32.505,23.005,20.151,28.386,31.082,30.729,23.304,8.949,18.326,34.773,43.107,62.707,45.576,44.919,59.936,63.349,131.754,47.811,65.581,54.652,33.511,55.2,40.702,50.33,50.556,34.509,34.065,18.877,8.34,15.227,7.808,9.114,6.138,4.587,6.804,8.021,13.762,5.686,7.052,6.924,4.531,6.588,6.555,6.721,5.308,11.234,6.037,5.396,10.532,17.071,396.542,658.677,612.469,593.648,620.056,374.031,831.479,694.18,463.962,189.527,629.514,411.699,385.975,523.725,550.047,314.333,113.972,575.234,262.274,156.402,45.206,58.233,37.06,6.9,18.764,27.279,14.602,64.837,34.005,25.975,56.46,38.191,72.936,44.074,20.86,7.28,28.592,6.798,32.791,8.431,98.629,146.186,183.09,126.077,129.903,94.668,165.73,159.563,98.371,72.586,151.742,123.086,93.35,129.394,147.483,191.857,119.518,148.057,140.881,131.934
18.55,60.061,42.484,27.479,20.938,48.349,67.032,32.201,21.688,30.53,18.002,12.503,23.588,27.678,27.169,33.213,12.674,36.698,17.019,36.792,34.228,47.251,34.088,45.592,44.203,59.988,112.474,26.608,32.813,39.16,50.48,33.75,29.647,40.603,49.868,22.335,11.862,8.055,8.9,12.845,17.104,7.789,5.33,4.15,3.81,7.316,11.599,2.528,4.203,5.109,4.564,3.071,5.767,7.126,3.509,9.825,23.923,1.41,15.045,5.06,418.451,667.512,711.953,773.492,776.489,362.408,723.377,811.861,719.09,234.332,649.834,363.776,578.161,523.924,483.943,439.931,189.062,491.279,178.12,102.782,64.163,41.325,33.298,4.709,25.108,30.016,12.069,38.779,20.247,32.531,34.73,31.875,57.041,42.084,19.083,8.169,15.509,6.252,20.805,10.499,85.916,166.729,131.607,120.007,144.971,89.651,194.763,184.164,110.863,122.439,107.55,129.53,131.89,86.418,179.192,94.911,120.423,116.125,149.88,98.384
19.78,50.936,11.741,22.77,21.471,40.9,45.878,40.22,26.648,29.166,45.083,14.431,26.108,19.796,28.199,27.513,16.883,29.735,22.679,7.657,61.238,64.056,15.4,48.158,53.334,69.364,92.029,26.209,22.134,53.292,38.729,39.682,23.499,30.278,62.132,29.158,9.467,15.357,6.527,41.289,13.321,9.227,0.927,3.3,3.7,11.337,10.102,4.286,3.459,5.063,4.282,3.383,4.667,8.228,7.576,12.167,35.581,3.889,7.05,11.357,426.527,138.547,638.661,655.446,745.135,378.431,622.057,890.74,422.916,167.978,811.61,343.794,343.5,508.516,544.694,158.422,39.734,448.956,137.31,263.9609118,42.263,21.819,25.144,3.495,18.408,30.916,9.82,31.614,15.727,36.819,30.18,25.367,33.542,37.187,20.429,4.764,3.558,3.37,10.168,11.60682641,95.372,56.522,194.43,144.547,184.203,72.279,179.534,131.366,81.8,109.219,186.169,114.308,111.363,112.307,176.245,128.521,85.059,140.041,85.089,139.2096431
14.8,45.462,17.019,25.673,24.011,51.568,46.421,23.591,24.784,28.236,32.663,20.908,13.616,34.725,20.803,40.439,12.41,16.855,16.034,25.53,24.625,47.873,35.929,59.183,59.797,52.436,100.09,29.57,24.378,38.748,22.95,83.29,39.513,36.744,46.65,28.156,13.122,5.703,11.332,17.227,18.817,9.428,4.817,4.626,7.274,8.339,11.929,3.599,3.305,7.364,5.236,4.293,5.623,7.812,4.6,15.27,11.563,3.497,25.17,26.77,388.513,681.954,950.425,768.182,887.553,491.747,808.111,776.939,528.203,252.504,799.796,468.292,394.498,511.798,722.373,432.714,170.531,580.344,158.145,121.443,57.418,52.226,31.714,7.221,17.748,36.498,11.119,25.409,35.71,28.978,31.718,28.57,45.46,38.607,16.692,11.98,3.518,5.273,17.019,6.25,80.949,181.206,165.289,124.678,126.191,83.095,192.323,164.804,114.039,66.814,206.187,174.478,100.125,123.762,146.037,166.376,158.329,153.015,103.607,95.171
22.05,66.338,32.013,33.784,21.975,69.815,84.267,44.475,25.253,23.775,38.694,30.69,33.455,40.127,31.562,63.94,13.635,91.597,16.412,23.596,41.247,61.699,25.284,64.617,73.352,67.286,103.719,41.843,55.104,48.76,33.682,50.697,64.109,45.67,60.727,33.489,18.54,11.693,7.772,18.631,17.188,9.458,5.973,4.397,5.525,8.76,12.259,3.411,5.024,7.711,6.208,8.695,5.945,7.064,5.053,10.007,19.263,4.566,36.897,31.415,341.551,311.687,583.263,706.055,639.934,254.825,678.104,666.325,407.022,136.788,682.487,344.686,370.029,491.383,496.173,245.848,59.17,361.931,224.396,298.749,26.395,40.858,36.988,5.913,24.362,27.61,13.799,38.248,37.419,29.169,53.79,70.788,64.237,32.504,26.606,8.064,6.158,5.228,33.644,18.386,78.649,124.275,142.912,151.513,102.814,64.592,168.84,213.885,119.771,79.786,216.728,132.328,101.435,130.16,175.054,105.114,106.651,142.059,144.493,105.114
19.8,44.299,17.927,29.676,21.054,71.798,87.969,33.66,18.885,21.061,43.367,35.597,26.553,38.134,33.253,51.196,28.116,11.546,24.088,33.879,39.806,60.528,9.641,47.824,59.959,62.258,154.538,41.462,71.483,35.333,61.534,50.394,59.323,44.737,60.272,30.068,37.04,17.643,11.579,21.272,43.53,8.948,4.066,6.331,5.319,9.631,14.16,3.889,6.705,6.435,5.703,6.807,5.707,7.034,5.327,0.064365419,20.527,3.599,6.842,5.587,217.555,109.41,709.736,675.974,698.407,289.704,624.153,755.424,371.537,283.598,644.793,387.751,312.96,436.141,582.189,148.044,65.083,339.862,307.25,109.206,58.692,14.804,38.207,7.207,20.476,31.217,13.429,41.611,17.358,47.646,51.156,51.58,52.544,38.671,35.366,11.086,4.748,5.615,41.396,27.677,71.61,39.699,59.425,113.933,128.283,66.017,210.685,155.614,79.647,102.433,128.532,107.634,93.304,137.425,158.79,80.802,104.832,105.151,150.144,109.873
26.52,48.458,35.645,38.883,29.528,56.792,101.728,37.074,23.368,23.768,29.172,45.237,24.306,36.825,27.377,41.995,42.906,30.757,13.955,24.77,115.2379864,65.35,51.008,108.785,81.423,80.335,147.509,49.023,68.349,61.853,30.663,55.519,64.452,68.349,62.673,39.879,29.873,21.402,9.777,12.122,34.074,8.885,7.538,7.238,7.758,9.244,17.824,6.781,6.016,10.187,7.301,8.467,8.894,7.515,6.685,10.296,12.481,4.811,17.266,44.08180496,371.649,429.429,607.09,525.145,656.505,322.843,435.57,651.557,403.098,151.149,509.382,368.981,312.484,404.207,443.036,173.885,51.81,296.962,60.25,123.983,53.385,47.286,52.477,6.231,22.109,37.442,14.203,44.05,38.864,25.925,54.17,60.962,72.096,47.507,35.73,14.818,5.827,3.69,13.111,15.44,85.279,144.259,169.563,112.528,117.086,84.08,147.658,164.565,95.513,81.774,138.534,101.626,108.875,168.03,138.534,81.83,47.637,92.709,72.803,116.863
17.89,25.498,15.252,29.569,15.229,30.551,60.63,32.896,40.034,23.161,34.607,22.234,30.741,48.222,26.942,38.285,37.073,120.2737047,15.516,24.407,105.663145,37.891,24.731,68.653,64.938,60.698,133.965,32.835,48.764,48.67,27.374,45.049,42.76,64.818,63.773,54.625,17.314,5.908612108,13.052,22.797,39.842,5.651,5.524,6.09,4.748,9.265,15.377,5.119,4.926,9.955,5.38,6.869,7.896,6.723,4.916,39.71428933,85.9673803,8.833,5.032,44.4202922,224.415,288.89,637.838,440.126,621.468,431.516,682.591,866.67,421.997,165.821,734.325,353.781,471.194,395.156,423.86,90.773,277.6071988,402.219,195.802,143.873,28.741,44.635,47.039,6.137,21.562,38.336,13.235,49.761,30.878,35.092,35.066,46.651,68.673,29.288,28.92,2.297,26.16865373,5.446,23.058,14.3,69.789,112.981,88.094,75.533,142.741,89.913,144.213,179.623,95.431,70.365,98.007,107.015,124.721,127.179,134.827,71.123,43.64835089,129.06,119.392,92.542
18.37,24.716,22.513,31.249,25.079,42.162,83.942,22.017,28.482,35.534,38.206,12.702,25.856,23.958,61.733,38.581,67.854,26.626,12.5,38.579,48.11,36.603,42.753,61.463,94.14,68.847,118.929,37.417,35.728,54.056,49.582,39.482,45.868,49.816,193.752,20.112,32.441,10.714,9.238,19.41,27.673,6.698,4.12,4.572,6.12,7.829,11.02,3.209,3.607,6.019,4.711,4.07,5.264,6.584,2.842,10.125,13.057,3.292,14.629,2.024,226.399,488.17,823.485,615.128,694.344,343.673,749.283,845.97,609.169,272.399,710.42,428.251,366.227,578.568,430.217,216.074,33.594,575.836,169.141,143.889,41.432,37.541,38.651,7.65,22.038,31.288,9.829,40.641,41.629,28.924,34.96,29.15,55.605,63.445,36.824,9.545,3.176,6.374,16.663,8.694,47.804,142.964,138.694,119.923,143.59,74.169,136.018,210.672,95.08,81.728,142.191,144.517,112.452,125.299,134.684,102.329,31.345,147.193,119.92,92.325
