date,trial,condition,average_length,average_mass,turbidity_reading_FNU,flow,angle_stdev_side,nn_mean_side,nn_stdev_side,spacing_mean_side,spacing_stdev_side,school_area_side,angle_stdev_top,nn_mean_top,nn_stdev_top,spacing_mean_top,spacing_stdev_top,school_area_top,angle_stdev_3d,nn_mean_3d,nn_stdev_3d,spacing_mean_3d,spacing_stdev_3d,school_volume_3d_cm
Feb_14,11,sediment,9.104550203,5.0633333,4.194,40,8.894333356,5.402729905,3.272088577,12.9584598,7.012983852,1172.973444,8.275027703,5.37084068,3.394253228,12.52843207,6.89730927,858.9700883,7.711199731,7.731159677,3.932018945,15.49286592,7.448606339,25925.14385
Feb_14,11,sediment,9.104550203,5.0633333,4.194,50,7.615733216,5.145196912,3.197173127,15.63392036,9.596747406,1265.856015,8.161833424,5.592380829,4.659063694,19.37677189,13.41174862,2032.302156,5.969205843,7.725551684,4.523479161,21.93995472,13.60055747,38362.06435
Feb_14,11,sediment,9.104550203,5.0633333,4.194,60,#DIV/0!,5.246456043,2.669488565,28.58153654,20.62921928,2348.135094,5.535394308,3.761226891,3.056711599,36.51918619,31.22874187,6620.881614,8.129483699,6.47044313,2.928473791,38.92494082,29.45703094,128894.134
Feb_18,13,sediment,7.796027674,6.30833333,4.156,20,12.9060929,5.562791038,5.586369332,11.99941736,8.787005303,1405.080632,13.25309757,5.078067802,5.377575019,11.30799404,8.168619492,1272.322544,13.79350778,7.290420773,5.630769307,13.96712513,8.562306707,40111.23758
Feb_18,13,sediment,7.796027674,6.30833333,4.156,30,7.391359971,6.097081248,6.056000986,13.78915548,9.883958933,1399.391538,10.05808527,5.605257618,4.434775528,11.98230878,7.421635472,975.8507251,9.913320943,7.880213809,5.40413303,15.31675186,8.922626154,24450.23996
Feb_18,13,sediment,7.796027674,6.30833333,4.156,40,6.497771307,4.897403011,3.256214039,13.07658005,7.929114088,798.6093836,8.67182322,5.524332362,3.101317174,12.55708269,6.848944747,936.3420231,10.15695329,7.044188765,3.106764718,14.39066041,7.07224492,15044.64965
Feb_18,13,sediment,7.796027674,6.30833333,4.156,50,5.90097339,6.766599382,4.744386297,15.53620751,8.919196802,1700.878189,8.326436476,6.059133613,4.399190822,13.80958121,7.948464399,1388.497037,8.418497797,9.172675772,5.795100979,18.09752402,9.264855753,51876.01242
Feb_18,13,sediment,7.796027674,6.30833333,4.156,60,9.793145815,5.601694318,3.182145025,12.64291018,6.85356904,860.3309737,7.472091356,4.476360801,4.049265544,11.71998459,7.728403168,551.5076206,7.384950199,7.438021239,4.253541711,15.85954791,8.283594254,18434.03269
Feb_14,10,no sediment,8.513675207,5.47666667,0.432,20,5.097045782,3.695771339,1.952847312,7.944125054,4.020499294,353.5636393,8.310539492,3.946449742,2.035076129,8.010494944,3.795443079,396.5171705,6.393100237,5.358511566,1.996381387,9.421224471,3.73144445,4529.283005
Feb_14,10,no sediment,8.513675207,5.47666667,0.432,30,7.596211097,4.43889696,3.123024951,9.714565557,5.507305166,619.0842095,8.428325177,5.159352727,3.110965795,10.20750147,5.444068661,693.6235784,7.888024621,6.92909268,3.375849741,12.28431859,5.896768048,12903.1624
Feb_14,10,no sediment,8.513675207,5.47666667,0.432,40,6.948350719,7.086456659,6.964979364,15.47929296,11.07887352,1095.798286,9.284975759,7.755924273,7.216919571,16.66524721,11.25953761,2105.278925,7.805971965,10.40414798,7.761185671,19.50406465,11.04670654,42472.90254
Feb_14,10,no sediment,8.513675207,5.47666667,0.432,50,6.251012924,7.832831383,6.305516765,18.8511948,11.65645247,2241.314186,7.776505336,8.324331272,5.326651702,18.73208972,10.73145766,2317.316984,5.585985503,12.33551431,7.044898142,23.80451676,11.90042563,94500.19518
Feb_14,10,no sediment,8.513675207,5.47666667,0.432,60,#DIV/0!,6.744224096,4.590651555,16.58135296,9.936402881,1547.703499,6.21692336,6.167681655,5.166390525,18.43832146,12.30669179,1213.289068,4.87914451,8.166464415,5.349440779,19.95511909,11.86382144,41801.91686
